"package","class"
"bluster","SomParam"
"bluster","TwoStepParam"
"bnbc","ContactGroup"
"BrowserViz","BrowserViz"
"BSgenome","BSParams"
"BSgenome","BSgenome"
"BSgenome","MaskedBSgenome"
"BSgenome","BSgenomeViews"
"BSgenome","InjectSNPsHandler"
"BSgenome","ODLT_SNPlocs"
"BSgenome","OldFashionSNPlocs"
"BSgenome","OnDiskLongTable_old"
"BSgenome","OnDiskLongTable"
"BSgenome","OnDiskNamedSequences"
"BSgenome","RdsNamedSequences"
"BSgenome","RdaNamedSequences"
"BSgenome","FastaNamedSequences"
"BSgenome","TwobitNamedSequences"
"BSgenome","SNPlocs"
"BSgenome","XtraSNPlocs"
"BSgenomeForge","BSgenomeDataPkgSeed"
"BSgenomeForge","MaskedBSgenomeDataPkgSeed"
"bsseq","BSseqStat"
"bsseq","BSseqTstat"
"bsseq","hasGRanges"
"BubbleTree","GenomicRanges"
"BubbleTree","gg"
"BubbleTree","GenomicRanges"
"BubbleTree","GenomicRanges"
"BufferedMatrix","BufferedMatrix"
"BulkSignalR","BSRClusterComp"
"BulkSignalR","BSRDataModel"
"BulkSignalR","BSRDataModelComp"
"BulkSignalR","BSRInference"
"BulkSignalR","BSRInferenceComp"
"BulkSignalR","BSRSignature"
"BulkSignalR","BSRSignatureComp"
"BumpyMatrix","BumpyMatrix"
"BumpyMatrix","BumpyAtomicMatrix"
"BumpyMatrix","BumpyIntegerMatrix"
"BumpyMatrix","BumpyNumericMatrix"
"BumpyMatrix","BumpyLogicalMatrix"
"BumpyMatrix","BumpyCharacterMatrix"
"BumpyMatrix","BumpyDataFrameMatrix"
"CAGEr","CAGEexp"
"CAGEr","CTSS"
"CAGEr","hanabi"
"CAMERA","xsAnnotate"
"CAMERA","ruleSet"
"cancerclass","nvalidation"
"cancerclass","prediction"
"cancerclass","predictor"
"cancerclass","validation"
"CancerInSilico","CellModel"
"CancerInSilico","CellType"
"CancerInSilico","DrasdoHohmeModel"
"CancerInSilico","Drug"
"CancerInSilico","GeneExpressionParams"
"CancerInSilico","OffLatticeModel"
"CancerInSilico","Pathway"
"Cardinal","XDataFrame"
"Cardinal","XDFrame"
"Cardinal","PositionDataFrame"
"Cardinal","MassDataFrame"
"Cardinal","SpectraArrays"
"Cardinal","SpectralImagingData"
"Cardinal","SpectralImagingArrays"
"Cardinal","MSImagingArrays"
"Cardinal","SpectralImagingExperiment"
"Cardinal","MSImagingExperiment"
"Cardinal","ResultsList"
"Cardinal","SpatialResults"
"Cardinal","SpatialCV"
"Cardinal","SpatialNMF"
"Cardinal","SpatialPCA"
"Cardinal","SpatialPLS"
"Cardinal","SpatialOPLS"
"Cardinal","SpatialFastmap"
"Cardinal","SpatialKMeans"
"Cardinal","SpatialShrunkenCentroids"
"Cardinal","SpatialDGMM"
"Cardinal","MeansTest"
"Cardinal","SegmentationTest"
"Cardinal","ContrastTest"
"Cardinal","IAnnotatedDataFrame"
"Cardinal","MIAPE-Imaging"
"Cardinal","MSImageProcess"
"Cardinal","ImageData"
"Cardinal","SImageData"
"Cardinal","MSImageData"
"Cardinal","Hashmat"
"Cardinal","iSet"
"Cardinal","SImageSet"
"Cardinal","MSImageSet"
"Cardinal","ResultSet"
"Cardinal","CrossValidated"
"Cardinal","PCA2"
"Cardinal","PLS2"
"Cardinal","OPLS2"
"Cardinal","SpatialFastmap2"
"Cardinal","SpatialKMeans2"
"Cardinal","SpatialShrunkenCentroids2"
"Cardinal","CrossValidated2"
"CardinalIO","ImzMeta"
"CardinalIO","Analyze75"
"CardinalIO","ImzML"
"CARDspa","CARD"
"CARDspa","CARDfree"
"casper","denovoGeneExpr"
"casper","denovoGenomeExpr"
"casper","simulatedSamples"
"casper","procBam"
"casper","readDistrs"
"casper","readDistrsList"
"casper","pathCounts"
"casper","annotatedGenome"
"casper","modelPriorAS"
"Category","DatPkg"
"Category","AffyDatPkg"
"Category","YeastDatPkg"
"Category","ArabidopsisDatPkg"
"Category","Org.XX.egDatPkg"
"Category","GeneSetCollectionDatPkg"
"Category","OBOCollectionDatPkg"
"Category","HyperGParams"
"Category","GOHyperGParams"
"Category","KEGGHyperGParams"
"Category","PFAMHyperGParams"
"Category","GeneSetCollectionAnnotation"
"Category","OBOHyperGParams"
"Category","ChrMapHyperGParams"
"Category","HyperGResultBase"
"Category","HyperGResult"
"Category","KEGGHyperGResult"
"Category","PFAMHyperGResult"
"Category","ChrMapHyperGResult"
"Category","ChrBandTree"
"Category","OBOHyperGResult"
"Category","LinearMParams"
"Category","ChrMapLinearMParams"
"Category","LinearMResultBase"
"Category","LinearMResult"
"Category","ChrMapLinearMResult"
"Category","GeneSetCollectionAnnotation"
"categoryCompare","HyperGParamsCC"
"categoryCompare","GOHyperGParamsCC"
"categoryCompare","KEGGHyperGParamsCC"
"categoryCompare","HyperGResultCC"
"categoryCompare","GOHyperGResultCC"
"categoryCompare","KEGGHyperGResultCC"
"categoryCompare","ccOptions"
"categoryCompare","ccGeneList"
"categoryCompare","ccEnrichResult"
"categoryCompare","GOccEnrichResult"
"categoryCompare","KEGGccEnrichResult"
"categoryCompare","ccEnrichCollection"
"categoryCompare","ccCompareResult"
"categoryCompare","ccCompareCollection"
"categoryCompare","ccSigList"
"categoryCompare","GENccEnrichResult"
"categoryCompare","mergedData"
"ccfindR","scNMFSet"
"celda","celdaModel"
"celda","celda_C"
"celda","celda_G"
"celda","celda_CG"
"celda","celdaList"
"CellBarcode","BarcodeObj"
"CellBarcode","BarcodeQc"
"CellBarcode","BarcodeQcSet"
"cellbaseR","CellBaseR"
"cellbaseR","CellBaseParam"
"cellbaseR","CellBaseR"
"cellbaseR","CellBaseParam"
"cellHTS2","cellHTS"
"cellHTS2","ROC"
"cellHTS2","chtsModule"
"cellHTS2","chtsImage"
"cellHTS2","chtsImageStack"
"cellHTS2","gseaModule"
"CellMapper","CellMapperList"
"CellNOptR","CNOlist"
"CEMiTool","CEMiTool"
"CGHbase","cghRaw"
"CGHbase","cghSeg"
"CGHbase","cghCall"
"CGHbase","cghRegions"
"cghMCR","cghMCR"
"cghMCR","SGOL"
"ChemmineOB","RSWIGStruct"
"ChemmineOB","ExternalReference"
"ChemmineOB","NativeRoutinePointer"
"ChemmineOB","CRoutinePointer"
"ChemmineOB","EnumerationValue"
"ChemmineOB","SWIGArray"
"ChemmineOB","C++Reference"
"ChemmineOB","_p_std__char_traitsT_char_t"
"ChemmineOB","_p_std__string"
"ChemmineOB","std::char_traits<(char)>"
"ChemmineOB","_p_std__ios_base"
"ChemmineOB","_p_f_enum_std__ios_base__event_r_std__ios_base_int__void"
"ChemmineOB","_p_std__basic_iosT_char_std__char_traitsT_char_t_t"
"ChemmineOB","_p_std__basic_ostreamT_char_std__char_traitsT_char_t_t"
"ChemmineOB","_p_std__basic_istreamT_char_std__char_traitsT_char_t_t"
"ChemmineOB","_p_std__basic_iostreamT_char_std__char_traitsT_char_t_t"
"ChemmineOB","_p_stringp"
"ChemmineOB","stringp"
"ChemmineOB","_p_std__vectorT_int_std__allocatorT_int_t_t"
"ChemmineOB","_p_std__vectorT_unsigned_int_std__allocatorT_unsigned_int_t_t"
"ChemmineOB","_p_std__vectorT_std__vectorT_int_std__allocatorT_int_t_t_std__allocatorT_std__vectorT_int_std__allocatorT_int_t_t_t_t"
"ChemmineOB","_p_std__vectorT_double_std__allocatorT_double_t_t"
"ChemmineOB","_p_std__vectorT_std__string_std__allocatorT_std__string_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__vector3_std__allocatorT_OpenBabel__vector3_t_t"
"ChemmineOB","_p_std__vectorT_std__vectorT_OpenBabel__vector3_std__allocatorT_OpenBabel__vector3_t_t_std__allocatorT_std__vectorT_OpenBabel__vector3_std__allocatorT_OpenBabel__vector3_t_t_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBMol_std__allocatorT_OpenBabel__OBMol_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBBond_std__allocatorT_OpenBabel__OBBond_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBResidue_std__allocatorT_OpenBabel__OBResidue_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBRing_std__allocatorT_OpenBabel__OBRing_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBRing_p_std__allocatorT_OpenBabel__OBRing_p_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBGenericData_p_std__allocatorT_OpenBabel__OBGenericData_p_t_t"
"ChemmineOB","_p_std__vectorT_OpenBabel__OBInternalCoord_p_std__allocatorT_OpenBabel__OBInternalCoord_p_t_t"
"ChemmineOB","_p_std__pairT_unsigned_int_unsigned_int_t"
"ChemmineOB","std::pair<(unsigned int,unsigned int)>"
"ChemmineOB","_p_std__vectorT_std__pairT_unsigned_int_unsigned_int_t_std__allocatorT_std__pairT_unsigned_int_unsigned_int_t_t_t"
"ChemmineOB","_p_std__vectorT_std__vectorT_std__pairT_unsigned_int_unsigned_int_t_std__allocatorT_std__pairT_unsigned_int_unsigned_int_t_t_t_std__allocatorT_std__vectorT_std__pairT_unsigned_int_unsigned_int_t_std__allocatorT_std__pairT_unsigned_int_unsigned_int_t_t_t_t_t"
"ChemmineOB","_p_OpenBabel__OBGlobalDataBase"
"ChemmineOB","_p_OpenBabel__OBAtomHOF"
"ChemmineOB","_p_OpenBabel__OBAtomicHeatOfFormationTable"
"ChemmineOB","_p_OpenBabel__OBTypeTable"
"ChemmineOB","_p_OpenBabel__OBResidueData"
"ChemmineOB","_p_OpenBabel__OBStopwatch"
"ChemmineOB","_p_OpenBabel__OBSqrtTbl"
"ChemmineOB","_p_OpenBabel__vector3"
"ChemmineOB","_p_OpenBabel__matrix3x3"
"ChemmineOB","_p_OpenBabel__transform3d"
"ChemmineOB","_p_OpenBabel__SpaceGroup"
"ChemmineOB","_p_OpenBabel__OBBitVec"
"ChemmineOB","_p_OpenBabel__OBGenericData"
"ChemmineOB","_p_OpenBabel__OBBase"
"ChemmineOB","_p_OpenBabel__OBCommentData"
"ChemmineOB","_p_OpenBabel__OBExternalBond"
"ChemmineOB","_p_OpenBabel__OBExternalBondData"
"ChemmineOB","_p_OpenBabel__OBPairData"
"ChemmineOB","_p_OpenBabel__OBSetData"
"ChemmineOB","_p_OpenBabel__OBVirtualBond"
"ChemmineOB","_p_OpenBabel__OBRingData"
